,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63
cell_712,-0.97281253,0.5630722,1.1088879,-1.7437251,-1.6419507,0.86499107,1.6211308,1.0942287,2.3035047,-2.602984,-0.81700706,0.07588917,-1.2924513,1.5176765,-1.1358422,0.005143687,-0.3523544,1.2342677,0.36115086,-0.20426194,0.75800705,-1.6287938,1.3466239,0.5169293,-2.1774018,-1.5665739,-0.4399115,1.7154766,-0.59455246,0.6283781,-1.58444,-1.9766513,0.7053572,-1.1566095,-1.046366,-1.2117478,-1.581917,0.7666627,-0.17459641,0.88912296,1.1739383,0.6231232,1.7420768,2.282883,0.518186,-1.9441578,-0.4806882,1.0379053,-0.063054994,0.107402496,-1.3598595,0.9606395,-2.574807,0.86289096,-1.2836056,2.353968,-0.12841287,0.5654879,0.8927203,1.0129032,-0.11221999,0.45587304,-0.5393623,-0.79568505
cell_713,-0.25184274,1.2249019,0.586196,-0.18663004,-1.1637862,-0.4235853,-0.3645722,1.1672578,-0.3564446,-1.760887,-2.0759168,-1.1285529,-1.3545209,-0.30444828,-0.8776628,0.93843484,0.15309876,-0.29761198,0.76359516,0.8768131,1.9110425,-0.94207007,-1.0856428,-0.2136247,-2.5233045,-1.0150534,1.4063628,0.017125733,0.07976393,-0.05616034,0.3964603,-1.9269102,-1.2402209,-1.3555396,-0.9943289,-0.18522291,-1.3974606,0.31997487,0.405981,-1.4970417,0.09665311,-0.21337748,-0.54710525,0.17328984,-0.8154991,-0.31587347,0.3869089,0.039932024,-0.67672646,-0.94393295,0.75161684,-1.0735822,-2.1272151,-0.07041216,-0.48589003,0.6845694,-0.53471094,1.3597243,1.4860448,0.897655,-0.47335556,-0.44452354,1.052258,1.3991652
cell_714,1.2138963,0.7386912,1.5545142,0.93459696,-2.1235237,-1.8276291,0.48991978,1.6099647,1.04822,0.16610539,0.8496961,-0.9447324,-0.07701343,-1.5569018,2.0736327,1.1185119,0.038163796,1.2219672,0.28301233,0.24828142,-0.75078964,-0.17017291,-1.2075372,-0.9876669,-0.6925936,-1.2473259,-0.8466778,0.50950825,-1.3149916,-2.0451684,1.3113701,0.9197242,-0.34172904,0.07778308,-1.0230308,-1.2182866,-0.72276616,-0.98104763,0.9968429,-0.60389566,-1.6941551,-0.78220665,-0.63494056,-0.05573219,-1.9003032,-1.2236395,-0.17065725,0.015780836,-0.5418799,1.3324348,0.33304545,-0.1994493,-1.128853,1.6373003,-1.4634533,-1.1521957,-0.97715586,-0.106511734,1.40418,2.6076791,0.7214012,-0.83933085,-0.8593833,0.055670768
cell_715,-0.98945343,1.7034642,-1.6785026,-0.7364285,-1.726651,0.81435657,-0.55025184,0.89556855,1.9217095,-1.6490879,-1.2226695,-1.6682795,-1.7797834,1.1759884,-0.8872677,0.54301786,0.26277375,1.6984174,1.4992002,1.3893464,1.5402693,0.12972763,0.22409496,-1.3521923,-1.4696481,-0.995757,1.2231959,2.1808038,1.689317,0.465968,-0.4124245,-1.0586915,-1.0404965,-1.264527,0.9133551,-1.4041374,-0.7324147,2.0003934,1.1865214,-0.40251207,1.8241484,0.7323526,0.32355377,2.2182908,0.5803193,-1.9172146,-0.9933517,-0.09611702,1.7804718,-1.9068688,-1.7414064,1.0893626,-1.655572,1.4255397,1.0644188,2.6528358,-0.22819942,-0.665952,0.7578906,0.11696184,-1.017897,1.266995,0.81575835,1.3649763
cell_716,1.4545435,0.8214451,1.4484494,0.51521635,-1.5408716,-1.7904242,0.9572359,1.7845421,1.0256892,0.27457958,0.6295112,-0.54612494,-0.018364467,-1.0692105,2.0016334,1.7037687,0.6726738,1.1488569,-0.3814432,1.3247094,-0.87848747,0.0084376335,-1.3641257,-1.8125215,-1.3135235,-1.8924189,-1.3441199,2.118825,-0.94088,-2.1519933,1.4597914,1.1723357,0.93005186,1.042059,-2.0201612,-1.168867,-0.8277593,-2.0126853,0.72983986,-1.44584,-1.2037672,0.77555776,-1.0719528,-0.68724555,-1.5461891,-1.7032745,-0.36458376,0.9226543,-0.47238326,0.7011546,-1.4352372,0.33551943,-0.99008477,1.3608979,-1.4215307,-1.2266954,-1.2704409,-1.5222926,2.0632548,1.7268519,1.2534581,1.512195,-1.340105,-1.0289336
cell_717,3.042133,-2.1830626,-0.53552014,-1.0116543,2.661805,2.9391537,-0.19900969,2.3637357,1.5749505,-1.1902108,1.5545357,0.6485945,0.27324682,-2.010087,-2.3543365,0.3485728,1.2676622,-2.2513776,-2.0662804,-1.4378257,2.77123,3.0201216,1.2605239,-1.6802423,-2.411657,0.81850916,2.2275767,-0.1255893,1.4120979,-0.25853124,1.5304164,-1.3327919,-1.073798,0.4876727,-1.1333724,-0.94032115,-1.2544498,-1.390585,1.5487033,0.97194725,1.3909597,-0.43681103,0.69945747,-1.7619951,-0.18305013,-1.312676,-1.4118398,1.1985976,0.05529792,2.7737496,-1.6924233,-2.9038737,-2.3742812,-2.2835479,-0.45971456,1.5365725,-1.990076,-2.237529,-0.11906049,-2.6774452,0.5574204,-2.2764552,-1.3707985,0.7169043
cell_718,1.0769962,0.024490833,-0.77415687,0.2557646,-1.2807112,-1.000225,0.7941289,-0.9297989,2.3270493,0.6737112,1.3412675,1.4477643,-1.2701215,0.3099963,0.5732795,1.6167449,-1.6209764,0.7406333,1.4210523,0.47651643,-0.68391895,1.147419,0.7743448,0.82602245,0.44142136,0.56768566,-0.9436839,0.09037343,0.8120161,-0.7285943,-0.9358145,-0.51720804,-1.211042,-0.06701061,0.5624978,1.4365423,1.6689254,0.87863165,0.7038439,1.1381718,-0.6731528,-1.1816201,0.74238515,1.2513344,-0.88127995,-1.2495797,0.9426186,-1.0379626,0.9590782,-0.1269484,1.4609636,0.74685216,0.20146394,0.24968347,-1.3434697,1.0939186,-1.4201069,-0.7750558,-0.5354628,-1.2525132,0.9054609,-1.3004256,-0.76062,0.9018287
cell_719,1.1075424,2.0672555,0.8578709,0.6716323,-0.16011822,-0.9127857,-0.56644124,1.1025949,-0.4137905,-1.6414948,-0.69315606,-1.5196211,-1.6685588,0.12222783,1.1858152,1.4961793,-1.4370373,-0.87597245,1.9034061,1.452856,0.22617489,-1.2296997,-0.8589641,1.1587309,-0.54199946,-1.4607912,0.5164826,-0.12389004,-0.6211437,-1.854215,0.7141067,-1.102669,-0.60251087,-0.6339695,-1.2455856,0.7773756,-0.5879297,-0.2607478,0.3507424,0.26779106,-0.42940694,-1.3174806,0.10257987,-0.013066903,-1.9195007,0.34569392,0.8419108,-0.8126194,-0.34722602,-1.4490608,0.96234864,-0.52998483,-1.9341697,-0.80611503,-1.533467,-0.9505119,1.6207952,1.1365701,1.6258159,0.6332385,-0.3675797,-1.6650704,0.3552474,0.009592205
cell_720,1.1349217,-0.4607331,-0.87747693,1.6924115,1.8928926,-1.5152636,-1.1668861,1.0523698,1.519671,-1.9278297,-1.081078,-0.9049383,-1.0676967,-0.9247241,-1.2051611,-0.4737178,0.336834,1.9027724,-0.85179657,-0.06648365,1.1424028,0.6867062,-0.997567,-1.3809533,-0.9329221,-2.5235868,0.3931866,2.2241373,1.7822394,-2.1894755,-1.0372075,1.6650398,1.7845174,1.3532059,-1.1978773,-1.0652646,1.0801759,-0.763221,-1.449942,1.5950577,-1.8250017,-1.6921699,0.6461714,1.4036051,-1.1145803,1.702442,1.8935899,-0.70896125,1.886153,1.0110701,-1.1991633,1.0953194,-0.45356315,-0.6088482,0.7036458,-0.7235799,1.4504874,0.7048033,0.13301738,0.84069234,-2.191303,-1.1566343,-1.6003172,1.0828652
cell_721,2.2702482,1.4117919,1.2576646,0.76237035,-1.2388068,-0.85885644,-0.05053203,2.179531,0.33748448,-1.2766957,-0.41222176,-1.6076205,-1.2218163,-1.4144614,1.2482284,1.6560361,-0.3170142,0.4500379,0.89650404,1.2690558,-0.5495397,-0.19406015,-1.4243666,-0.18578996,-1.4090428,-1.0542599,-0.27551183,1.2799504,-0.6717009,-2.0030496,1.5166247,0.6982807,-0.34663,0.11167299,-1.7141216,-0.6548407,-0.73814416,-0.77031595,0.8435084,-0.78962785,-0.9353883,-0.9770682,-1.0169795,-0.78991127,-1.6559919,-0.7844625,-0.010924116,-0.37376013,-0.731304,-0.26950723,0.5087837,-0.61722916,-1.164375,0.56527066,-1.692896,-1.4139096,-0.41707084,0.2140306,1.6074044,2.1397417,0.5673127,-0.24696569,-0.5086227,-0.4386904
cell_722,0.5995822,1.3706423,3.29987,2.8309648,3.9865453,2.3212335,-1.8466994,-0.02413904,-2.0235214,-0.99413776,-0.6172062,0.8903538,1.9178423,-0.7063614,1.6458423,-3.7430482,2.1573634,0.47112206,-0.93580097,-3.8188226,-1.13199,-4.671009,1.4333994,-4.913134,2.464237,3.2097397,-3.6110392,-0.57533383,-4.035099,2.0058134,-2.1392238,0.24333112,-3.3127825,-1.2383784,-0.27595308,-1.1856763,-2.6338499,-2.3633363,2.6056268,-0.24513006,1.9375544,1.7818954,-0.79375154,0.96296895,2.446871,2.6115403,-2.926419,-1.6721392,-0.098315805,-3.9636948,0.24954143,1.8917017,1.8086741,-0.8877424,3.9152298,0.035611793,0.20845062,-2.8116858,-3.346853,0.24641992,-0.6467962,0.14460348,-0.8158481,-2.1684468
cell_723,1.5509839,-3.115573,-1.8791599,-1.2575245,1.909392,-4.256697,2.1236699,-3.1374679,-4.2498283,-0.3291633,-1.2059668,3.8152041,4.0868773,1.0473824,-1.7187744,-0.6971558,1.902251,-1.9123291,-0.043150596,0.19412678,1.7963016,-0.99521124,0.042440765,-1.0301927,-1.3759301,2.208731,-2.9093487,2.7307491,-3.4173274,0.20127773,-2.7288597,-2.028859,-1.342278,5.5186567,-1.7407397,1.4428413,2.985065,1.1599259,-0.98948026,-0.97309154,-1.5097377,2.6928847,-1.6494174,-0.65288824,-1.9913011,3.096572,2.7880692,2.9099653,3.5021467,-4.133355,1.2248983,-1.8781775,1.0110054,-2.3706234,2.353196,4.6149406,-2.0307698,-1.6467006,4.22095,2.2023587,-1.4288836,1.3127832,-2.0585008,-1.358229
cell_724,1.2639387,0.6973808,-1.0384425,0.7542701,-0.9477886,-1.3636472,0.9886502,-0.5476029,1.6053075,1.1646262,1.9419216,0.84489685,-0.36936638,0.772853,0.9148407,1.4481235,-1.2098874,1.1171329,1.278611,-1.0192196,-1.5079944,1.1068826,1.1008927,0.40105152,0.4422912,0.86924523,-0.7992164,0.1945726,0.94547766,-1.2983156,-0.76682866,0.030011967,-0.9731794,-1.1768339,0.50771254,1.0137905,1.1104178,1.4119835,1.5815578,1.7292341,-1.1263272,-1.3634516,0.73989964,1.9662845,-0.6043658,-1.7113717,0.84141266,-0.68852085,1.3180851,0.34363055,0.20952097,0.5228363,0.915087,1.7031348,-0.78016365,0.7635428,-0.9038373,-1.1382706,-0.7466223,-0.5727897,0.3603169,-1.2855073,-1.3841529,1.279022
cell_725,0.62084,0.8870887,0.72433436,1.1962495,-0.5402626,-1.0188489,-0.6924331,1.3518151,-1.1195958,-2.0625982,-0.9187132,-0.831584,-1.4852638,-0.7771518,0.7948696,1.38838,-1.3182528,-0.8771682,0.9690055,0.10612959,0.70654064,-1.2968142,-1.3248415,0.5655369,-1.801619,-1.1534312,1.3561164,-0.19743033,-0.7453329,-1.3322778,0.86870867,-1.1132233,-0.91024584,-0.3336018,-1.3566526,0.21011639,-0.77342,-0.67010564,1.3444139,-0.8630625,-0.57317775,-1.0768303,-1.0871372,-0.49119467,-1.2396821,1.0104798,1.1221589,-0.30781153,-0.5700207,-1.2547504,0.51303065,-1.4937102,-1.5797017,-1.3985713,-1.0668263,-0.49443835,0.6949012,1.1499089,1.3995746,1.8891708,0.14636023,-1.483803,1.0832211,0.8026275
cell_726,2.5624528,-1.5114428,0.47312966,-0.30814153,1.8201131,2.5675025,-0.24393746,1.9850816,0.9366472,-1.4466417,2.121017,1.533998,1.1348972,-1.5295223,-2.0390463,0.69693524,1.8016772,-1.7586501,-1.5157039,-1.9632552,1.9938155,3.4355338,1.4377921,-2.7267888,-2.610088,0.38979584,2.2087839,-0.39462844,1.1822568,0.46454737,1.2489855,-1.3439901,-1.5247129,0.9425278,-1.9229399,-0.12629825,-0.6329169,-0.30154568,1.3688616,0.9997723,1.1174273,-0.5932205,-0.023509458,-0.5165037,-0.68709815,-1.59151,-2.154303,0.5176683,0.31203082,1.9996318,-1.5177503,-2.1980963,-1.9505805,-2.1402705,-0.6543304,2.498846,-1.7441175,-2.295873,-0.36377397,-2.2563868,0.7734831,-2.5537667,-1.3369259,1.0610604
cell_727,0.7312847,0.4519198,1.1271603,-1.2574931,-0.029071808,-0.88782066,1.312809,1.4858898,1.0440276,-1.2148185,-0.88746226,1.4318761,-1.3076047,0.65091515,-1.6239793,-1.2166643,-1.3534143,1.1164289,-0.94216144,-1.2340198,1.3102182,-0.76476353,1.206626,1.3793104,-1.7440948,-1.2460952,-1.8586838,1.7296622,-0.6773199,0.24198581,-1.42648,-1.7210207,0.97069806,-0.92739034,-1.4097301,-1.6950884,-0.6012471,-0.5833248,-1.2631896,2.1482644,-0.4851232,0.40616244,1.8071572,1.6251781,-0.019386083,-1.3732536,0.9760392,1.1667572,-0.95569825,1.9968879,-1.3122711,0.6531059,-1.7744802,0.34569237,-1.0451694,1.635446,1.5270371,0.53686845,-0.703125,1.7655956,1.244765,0.40753123,-1.3397518,-1.3003638
cell_728,2.5500653,1.1349976,-3.042087,-1.4698021,2.3017716,0.9158539,1.5561209,0.7599249,0.91510177,1.4576848,-1.4462954,-1.7268268,-2.4411635,1.2347236,1.6452307,-0.39463106,-0.5176687,-1.5651333,-1.9262085,0.13058366,1.9791261,-0.84561104,0.037380412,-0.19666222,0.9172389,2.1090915,1.4838643,-0.9907713,0.33900216,-2.1173396,3.1351464,0.754557,2.099309,-2.2858999,1.0775682,-2.6789513,1.9124457,-0.13568076,1.6531565,-2.4685647,3.305393,-2.6206875,-1.6981934,-0.51915205,-1.6759396,-2.854146,-0.60644346,2.0386589,-0.6354617,1.8761154,-1.7705034,-1.7352002,-0.76912534,-3.324412,0.6849277,-1.2457877,2.5214322,1.8485496,-0.8435288,-0.06593308,-3.134235,-0.22259605,-2.1546001,-1.6446676
cell_729,-1.7432847,-0.65456355,-0.85972476,1.1149061,0.88893425,-1.0159569,-1.1364435,-0.27159613,0.6446642,0.5363316,0.73286325,-1.416908,1.3148837,-1.6741596,-0.6116032,1.0165858,-1.3813921,0.5149459,1.4061979,-2.0075352,0.62459654,-1.122608,0.68371683,-0.5364623,-1.7378682,-1.318991,-0.9664079,1.7955549,0.91060615,0.5724509,1.4689318,1.666774,1.1167753,-0.62619984,-0.5958191,0.9047292,1.0610561,-0.20886117,-0.87705,-0.99348086,-1.2044876,1.1634434,0.9111365,1.7769269,-1.3752588,1.1618798,-1.2868701,1.7752002,-0.44233173,-0.7136301,1.0503283,-1.5312167,0.26496264,1.0671476,-1.6133443,-0.517479,1.2391427,1.1424692,-0.65816474,-0.69625014,-1.40199,1.1357042,0.89089394,0.14770581
cell_730,-1.604511,1.7308283,-1.4212301,-0.3251099,-1.8325889,0.71374524,-0.5975704,0.8479551,1.0792085,-1.9170188,-0.9394399,-2.1178524,-1.6512095,0.9734742,-1.0765159,1.3396451,0.9235499,1.6231519,1.9172044,1.5839663,1.4958022,0.3827548,-0.23660666,-0.83975756,-2.1401587,-2.452239,1.3862592,1.8418956,1.3046745,1.1343598,-0.5499253,-1.270921,-0.41481864,-1.202495,0.7601905,-1.1333305,-0.9153166,2.618757,0.8716817,-0.9698171,1.5254133,1.234512,0.5864376,1.518551,0.608321,-1.2132969,-1.0374168,-0.015499294,1.419964,-1.467464,-1.4273148,0.8133849,-0.89222133,1.2390739,0.4891876,1.9687811,-0.855143,-0.7555037,1.3072846,0.49232823,-1.2694125,1.0743904,0.59119034,1.3552977
cell_731,1.4178251,1.5039029,1.4510422,1.0929476,-0.4109711,0.52106494,-0.0014167875,1.1152071,0.6219115,-1.6297634,0.2767855,-2.3693945,-0.5971282,-0.2312253,1.1098508,1.3380579,-0.8792186,-1.1584263,2.4297466,1.4785843,-0.72606754,-1.691917,0.19778368,0.621018,-0.23887426,-0.8323259,-0.13792537,0.2439612,-0.94733816,-1.0586488,0.7271895,-1.6544554,-0.42653406,0.28318742,-1.2952421,0.23769253,-0.75816596,0.39811796,0.2509315,0.93079233,1.1983274,-2.155505,-0.21769604,0.24037078,-1.9421332,-0.83899665,-0.6157482,-0.266272,-0.69305533,-1.9776813,0.8502167,-0.116358705,-1.9633179,-1.2574152,-1.4572716,0.1589858,0.8182012,0.7107497,2.2151237,0.82042307,-0.57218283,-0.78039384,0.31120795,-0.46822444
cell_732,-0.57869226,1.8935168,-0.97585917,-0.7613453,-1.8105706,0.63220555,0.09409939,0.8366716,0.8613116,-2.1304476,-0.77892023,-0.3487733,-1.5181055,1.5609239,-1.4539641,0.25028497,0.36277568,1.1939036,1.1984543,1.1833073,1.7215655,-0.76363224,0.73920375,-0.6216571,-1.58841,-1.8245736,1.1658554,1.7735329,0.3687986,0.92184186,-1.085495,-1.5217922,0.104724884,-1.3457265,-0.17703763,-0.9444259,-0.36905724,1.6590055,0.26668128,-0.18366577,0.93780357,1.2974547,0.4350589,2.293004,1.1274395,-1.4635007,-0.59627515,0.63420105,0.82002854,-0.7425013,-1.3500047,1.534999,-1.5712794,1.803116,0.2863358,1.9012338,-1.214148,-1.2195113,1.1457069,0.6113968,-0.82037544,0.6813026,-0.16290586,0.6931032
cell_733,-0.13638216,0.68168306,-1.3543123,-1.4121596,-1.4500514,2.1161237,-0.5521194,1.8052832,-1.6690903,0.37816626,-0.35613295,1.3039751,-0.6065267,-1.410205,-2.010087,-2.156239,1.829188,-1.9859226,-1.3275726,-1.9510114,-1.3620704,0.4231656,-1.4724321,0.51250684,1.276418,1.9205574,-1.3896999,0.027050436,1.0134525,0.8318122,-1.5593784,1.319561,-1.7154293,2.332841,-2.1639023,-1.7337347,1.6803877,0.8627605,-1.4895998,-0.2648144,2.2119713,-0.8735435,-1.941504,-1.6482806,1.0280427,-1.9745865,-1.8205442,-1.5468345,-2.210885,-2.1549275,0.80748045,-1.382476,0.36146742,0.9502797,-0.24859115,-0.18407269,1.3801104,1.3387746,0.32458198,2.078693,-0.17017218,1.2099129,0.7422583,0.30630356
cell_734,1.091885,1.2912527,0.055469215,0.32813156,-1.3544761,-1.3935206,-0.4557383,0.347889,1.0928581,-0.14804703,-1.4395754,1.0865161,-1.7533143,-0.17818332,-0.40533343,-0.06938696,-1.5704864,0.10879214,0.626563,-0.09493047,1.5504246,1.4936396,0.046378255,1.1849265,-0.758497,0.53117526,-0.584505,-0.32762712,0.8119961,-0.6313979,-1.1150726,-1.2761304,-2.0190547,-0.9505485,-0.9078393,0.15072985,-0.0350817,0.70722914,-0.20104706,-0.03199017,-1.7482462,-1.9139706,-0.16028257,0.2199338,-0.9498567,0.016058795,1.3299768,-0.76559865,-0.43434274,-0.29829782,1.7112789,-0.27202943,-0.09980243,0.29313785,-2.034383,0.87846684,-0.3969257,0.1721894,-1.0523758,0.58772635,1.768179,-1.4608557,0.23756953,1.3169879
cell_735,0.45796543,1.4533367,0.7688504,0.2664083,-1.036578,-1.2066978,-0.46850666,1.7478374,-0.6629752,-1.9055433,-0.9993238,-1.301604,-1.5558345,-1.5760834,1.3089626,0.8887978,-0.8644361,-0.77457106,1.4566151,0.9267072,0.58938414,-1.3191559,-0.67916155,0.5958185,-1.4390327,-0.92376244,0.94489837,-0.18730706,-0.7651096,-1.7996852,1.1891688,-0.82016,-0.9069556,-0.5560406,-1.5035558,0.40331626,-1.1534097,-1.1778973,1.1996541,-0.10898495,-0.9620202,-0.82000077,-0.6792902,-0.34382465,-1.1437488,-0.15432613,1.0696106,-0.75245124,-0.50704855,-0.87195903,0.41879916,-1.1387665,-1.7930651,-0.81021845,-0.8800186,-0.57608926,0.60773236,1.0136127,1.3072066,1.5874097,0.739715,-0.85928136,0.55551404,0.3270355
cell_736,-0.59718406,0.10846059,-1.0817145,-2.1587095,-1.1881253,2.3577363,-0.7907821,1.2804942,-1.3754305,0.6284355,-0.1375611,1.9706625,0.023020737,-1.5108113,-1.3739998,-2.2836325,1.9790313,-2.090759,-2.2154663,-2.1077585,-1.4255629,0.35875657,-1.3350255,0.963903,0.9999037,1.4210753,-1.5634048,0.37031505,0.8248183,1.537829,-1.5439289,1.688108,-0.9543783,2.1860452,-2.037659,-0.6643019,1.8636855,0.4636467,-1.6345202,-0.1394206,2.2233195,-0.6840707,-1.7725016,-1.799565,1.5951797,-1.4659337,-2.3857582,-1.0565,-2.4242933,-2.4455922,1.3365699,-1.1516819,0.025954235,1.2888963,-0.6595809,0.09764859,0.8445884,1.7189803,-0.13818419,1.5206612,-0.6103032,1.1390483,0.6993463,0.5873
cell_737,0.63959014,1.3529875,0.7540568,0.36578014,-1.5042645,-0.67061764,-0.45669243,1.4884627,-1.3938642,-2.2149246,-1.1790065,-0.8690371,-1.2903152,-0.8212547,1.134692,0.8223568,-1.2488822,-0.8012501,1.1250719,0.39263076,0.45705357,-1.1329975,-1.1200995,0.54658425,-1.6481122,-0.9951221,1.0497088,-0.46474668,-0.8033751,-1.497426,0.960468,-1.3069508,-1.4071162,-0.9456708,-1.5206189,0.6461227,-0.82833725,-0.24901855,1.035752,-0.6242143,-0.6603581,-1.3205422,-1.1110942,-0.5095486,-0.976117,0.46336424,1.0616578,-0.5654168,-0.4795416,-1.3602754,0.80638635,-1.3780565,-1.705401,-0.97081935,-0.74720836,-0.74797404,0.7295998,1.4764185,1.6711335,1.5304432,0.26339763,-0.84088266,1.2224761,0.32978952
cell_738,-0.93999386,0.52922976,-1.0463988,-1.6230624,-2.103797,2.4449162,-0.21084432,1.3821803,-0.8151764,1.5547738,-0.052636802,2.449921,-0.11204547,-1.0257541,-1.8495102,-1.8533549,1.2413535,-2.5717452,-2.3250198,-1.6713244,-2.6269748,0.22520778,-1.3519754,0.16091368,1.5009589,2.5885677,-1.5952543,-1.0355523,-0.001286611,1.5330162,-1.7268224,1.1767633,-1.6806003,2.354084,-1.8487858,-1.8926933,1.4506947,0.9051306,-1.7096162,-0.6268674,2.8902433,-1.5256811,-1.96002,-2.0499594,0.9811219,-2.230935,-1.7006924,-1.2553303,-1.9612627,-1.9728091,0.73969966,-1.3891473,1.1828697,0.7535737,0.7695869,-0.61631006,1.8587767,2.198859,0.006082715,2.794353,-0.4276262,1.9116793,0.88412666,-0.29653752
cell_739,0.5023759,1.0804999,-1.714288,0.70902973,-0.39532745,-0.865951,0.84491915,-0.8626439,0.4727283,1.1194609,0.9874988,1.0794439,-0.76731664,0.4419406,0.90935934,-0.13810772,-0.65919065,0.53537273,-0.20307878,-0.8013319,-2.201885,0.9348535,1.3879366,0.39295015,0.81135195,1.5531923,-0.1046008,-0.63739777,0.003845036,-1.5914524,-0.32777876,-0.8010239,-0.34470594,-1.3799518,1.0785395,1.5184344,0.6224394,1.2016833,1.265259,2.0801885,-1.1103269,-1.0714467,0.33961746,1.4782473,-0.96872103,-0.92108095,0.8036783,-0.34851366,2.0917392,1.2823119,-0.37906617,0.23579934,1.1448088,1.7234325,0.46754396,0.60549515,-1.2515113,-0.78391796,-0.8282007,-0.22994538,0.5252503,-1.2493768,-2.0454078,1.3257918
cell_740,0.3637172,0.24609837,-1.0189273,0.406631,-0.98047364,-1.8711694,0.4744459,-1.1051974,1.0430816,1.682526,1.4088037,0.9904256,-0.20889477,0.70496476,1.0293372,2.5087626,-1.3280922,0.721229,1.0349275,-0.55661684,-0.39868248,0.9749929,0.5260637,1.5336435,0.86317116,0.59236485,-0.49656868,0.1739667,0.97426474,-0.68412846,-0.4283085,-0.55124027,-1.0821083,-1.004747,-0.41972315,1.7390248,1.2628005,1.2686425,0.5390139,0.3305959,-1.4158442,-1.0966938,0.34547657,1.3864026,-1.1268235,-0.24805677,1.1571653,-1.194976,0.7937304,-0.32876903,1.5040145,0.34750372,0.5940132,0.7336422,-1.2803066,1.1566247,-0.9954774,-0.87536395,-0.69700384,-1.1801348,1.0376345,-1.5488089,-0.6167152,1.3664379
cell_741,1.8224025,0.56635153,-1.1867511,0.3013108,-0.19819063,-0.5891203,1.3255632,-0.39067107,1.5578208,0.8043978,1.4793164,0.5739968,-0.7264932,0.5103941,0.40832707,1.6600745,-0.9081918,1.4338475,0.9925809,-0.21737681,-1.5687876,1.0892391,1.1989176,0.5576688,1.086462,1.3915827,-1.0528086,0.08742685,0.86403495,-1.2510501,-0.8255834,-0.4233281,-0.63901734,-0.44218493,0.50152457,0.74958575,1.1121273,1.0301411,0.9220078,2.3584666,-1.1773919,-0.71700275,2.0724864,1.1964155,-1.6684408,-1.502781,1.2238709,-0.9911429,1.3506913,0.77690095,0.50078744,0.73511475,0.79328114,0.8443575,-1.0500393,0.66027755,-0.6564382,-1.2783132,-0.7953215,-0.4001568,0.55422604,-1.4836781,-1.7143489,0.9992255
cell_742,0.48710802,0.86453164,-0.74920666,0.3079682,-0.93520874,-1.1299384,1.260177,-0.77657855,0.9147275,1.3940711,1.0288045,1.0107522,-0.25947666,0.63662064,0.587067,0.86100864,-1.3270811,1.0217662,0.036426038,-0.5720949,-1.1649728,1.2876415,0.659343,1.2915221,0.6225488,1.0266869,-0.633082,-0.5069401,0.6185991,-1.0716014,-0.560531,-0.6647737,-0.793317,-0.87493,0.63376594,1.5057285,0.76754,1.2736093,1.3294363,1.6427963,-1.210153,-0.7185843,0.33585447,1.199359,-1.0105184,-0.8125147,1.1868534,-1.0770786,1.5710262,0.7096148,0.533884,0.9677075,0.39793503,1.3954667,-0.6246489,0.6329653,-1.153978,-1.4716947,-0.53511727,-0.44105315,0.5809485,-1.4336294,-1.1813647,0.54366565
cell_743,-0.030509174,1.0624738,-0.6921448,-1.2671192,-1.7399778,1.8247566,-0.951504,1.6467689,-0.8597851,0.8396083,-0.1336847,1.6953591,-0.67634976,-1.4469899,-2.456112,-2.1218686,2.0530407,-1.6556253,-0.9742682,-2.1732807,-1.6951455,0.6309417,-0.9165467,1.1481671,0.5804033,1.5976896,-1.7186655,0.1305196,0.92295915,0.78616965,-1.8947331,1.2966566,-1.2574608,2.0667667,-2.3674572,-1.5309043,1.2931991,0.8410767,-1.7116268,-0.024805754,1.8751241,-1.1448612,-1.6043022,-1.1511956,1.5419188,-1.7304189,-2.305327,-1.1486301,-2.32596,-1.7139255,1.3020589,-1.6210978,0.8382745,1.2865217,-0.64018464,-0.33099365,1.1864678,1.6365687,-0.603132,2.2530026,0.017421186,1.3689151,0.8924042,0.21701069
