,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63
cell_20,1.1194118,1.39996,0.77113014,0.3743328,-0.9996734,-0.69242084,-0.6470748,1.4596713,-0.5530865,-1.8255881,-1.0920116,-1.7443107,-1.642495,-1.0454618,1.330404,1.1686716,-1.2284646,-0.5074823,1.0002661,0.5298623,0.1672967,-1.5708876,-0.89862204,0.9227185,-1.0767186,-1.0661352,-0.023956656,0.003901124,-0.834337,-1.7210109,1.2037445,-0.64266014,-0.64366746,-0.72211015,-1.3447345,0.39383513,-1.0272889,-0.9121669,1.2061719,-0.3416946,-0.28891355,-0.9517086,-0.73993134,-0.4940284,-1.6428356,0.27623993,1.2652694,-0.41165206,-1.0206827,-0.96043384,0.68122625,-1.9016185,-1.4684081,-0.61003876,-1.2122202,-1.6215703,0.5476149,0.72342503,1.6596385,2.0240514,0.4055832,-1.3016754,0.6389687,0.6159367
cell_21,-1.929197,0.15016724,0.1031799,0.61760974,1.4445993,0.71428424,-0.404305,-0.715049,2.902314,-0.073809505,0.2205239,-0.8681279,1.1380304,-1.8943896,-0.5165144,0.48536178,-1.3712937,1.7549601,1.8686876,-1.960463,-0.25685197,-0.10421969,-0.44609112,0.6055182,-2.5796618,-1.1276363,-1.2415642,1.846675,1.4272377,-0.34025195,2.4821594,1.1108968,1.0732589,0.14386898,-0.2351071,-0.2561852,0.1542487,-0.67807555,0.5453041,0.5930146,0.40845448,-0.4785676,1.6105213,1.6757374,-2.0757139,0.09057753,-1.3300529,2.66,0.516113,-0.6120785,-0.46600872,-1.5205175,0.83852506,0.16534226,-0.719885,0.99183273,0.9100281,0.4654041,-0.62081605,0.44640818,-2.2776303,1.6381809,1.824955,-0.41939956
cell_22,0.9714762,0.48647594,1.5142761,-0.75808287,-1.7023743,-1.3933479,1.813586,1.796557,2.041467,0.20512903,0.7222094,-0.060836777,-0.5203879,-0.5186334,0.74084765,0.67415255,-0.64418674,1.8938433,-0.73658454,-0.54687953,-1.1496061,-0.0955309,-0.047692645,-0.19318163,-1.048496,-1.1738653,-2.400868,2.0712225,-0.85295165,-1.4818319,-0.17104511,0.44553992,1.8351638,0.20928733,-1.6316811,-1.6469623,-0.9637962,-1.4558632,-0.03307026,0.7367651,-1.436433,0.60412234,0.43439516,0.4751817,-0.8266792,-2.3177407,0.002329439,1.4641999,-0.3445707,2.416284,-1.1861882,0.8132857,-0.9244848,1.3451079,-2.0688577,-0.11223387,-0.66480374,-0.14514221,0.9318661,2.1957004,1.1089988,0.91821325,-1.3092474,-1.7649027
cell_23,1.2294673,-1.7726266,-1.5087667,1.6352435,-2.0480733,1.6299871,-0.8824277,2.1945567,-1.5058478,1.3759009,2.196526,-1.4243083,-1.5268501,-0.8270178,-1.2281047,0.45899326,-1.2948403,-2.2833645,1.3168232,2.1801226,1.8186395,-1.1454449,1.6605376,0.34687468,0.91307205,-1.7011577,1.5037236,-0.45758703,0.7904891,-2.3498273,-1.3307185,-1.5796632,2.8988917,2.0580022,1.4358685,-2.7890737,1.3696421,0.6546522,1.7556776,1.3725027,2.0690088,-0.27924103,2.146872,-0.81407493,1.3807508,0.99681914,-0.7623321,2.4865382,2.8254304,1.3602741,-1.1924281,-1.6044979,1.2506231,-1.2945634,1.4556108,-0.84317666,2.7219074,-1.9249458,3.0990038,1.1277026,0.79233116,1.193504,1.9229943,-2.7091947
cell_24,1.9150652,1.1671543,-0.66772306,-0.039084435,-0.9509206,-0.23111326,1.4634334,-0.66422236,2.342573,0.2768776,1.670446,0.31195498,-1.324259,1.3747152,0.64071524,1.3989048,-1.3841987,1.1450784,1.9790184,-0.17271544,-0.5701066,0.7384455,1.2126544,1.0291479,0.36191663,1.204444,-1.6759179,-0.077935755,1.6395055,-1.1941224,-0.5799815,-0.7761753,-1.5896522,-0.14662042,0.6402436,0.23554613,1.1115997,0.80877936,1.2577015,0.7222532,-0.3081658,-1.4138589,1.5011051,1.3985214,-1.4930282,-2.4847047,0.91250795,-1.1692201,1.0037827,-0.9890629,0.8163749,0.87784344,0.16595066,0.9028489,-1.5632389,1.9110168,-1.0397394,-0.89666116,-0.088645995,-1.0307515,0.57914895,-0.973262,-1.0957682,0.7734406
cell_25,1.1404275,0.6573551,1.5116781,-0.34291095,-1.1786062,-1.1665834,1.4638716,1.1626999,1.8193929,0.009468941,0.6676004,-0.22950487,-0.48358855,-0.108226135,0.62228644,0.61401516,0.22649217,1.1696047,-0.2779569,0.6932733,-0.5501224,-0.638842,-0.2067526,-0.5272423,-0.9348602,-1.7968788,-2.723421,2.05085,-1.4235355,-0.818136,0.20354375,-0.17818266,1.104032,0.4543599,-2.2650316,-1.262007,-0.82721484,-1.0685008,-0.18082695,0.3420383,-0.8805243,0.18074143,0.4523008,0.29408488,-0.34891638,-2.775639,-0.13835429,1.5508167,-0.85115093,1.4669772,-1.4662256,0.73147327,-1.2553895,0.7485772,-1.7185665,-0.6228238,0.47596866,-0.5617262,0.827356,1.8866518,1.0271808,0.87102926,-1.2418553,-2.3342972
cell_26,0.3929935,0.96142906,-0.3165967,-0.18097332,-1.4590814,-1.0009122,1.7362386,-0.4091866,1.8737719,0.5399039,1.289955,0.6593045,-0.7414655,0.69836336,1.2418644,1.5945271,-0.9180258,1.4187272,1.9370675,0.13017704,-1.1815677,0.62416744,1.1297159,1.368105,-0.023381382,-0.08577043,-1.5257686,0.21226099,0.7857131,-1.1836888,-0.6987279,-0.9787069,-0.86636436,-0.5713018,0.47212005,0.5159923,0.530128,0.5299793,0.3752259,0.8923589,-0.67294544,-0.8056943,1.663905,1.4241056,-1.2165993,-1.9035826,0.8689209,-0.7013796,0.93355274,-0.19169475,0.6266997,0.52369344,0.027760968,1.3401651,-1.0603817,1.3704692,-1.7161188,-0.85147613,-0.11475083,-0.6377693,1.2071946,-0.7969951,-1.4696313,0.7633714
cell_27,1.7196143,1.074118,-0.6749706,0.4654383,-0.81194335,-1.1145548,0.8909558,-0.8036059,2.0205386,0.6530265,1.4233203,0.3740448,-1.3562694,0.9958296,0.8590156,1.85234,-1.4655762,0.5076252,1.1823986,0.825006,-0.4790182,0.57079005,0.9179798,1.3266388,0.5557351,0.8861712,-0.78130394,-0.081226416,1.2349231,-0.6172762,-1.203282,-0.77446824,-1.5676547,-0.9027705,0.8305394,0.6185355,1.482582,1.0204312,0.8717387,0.9660647,-0.9806927,-1.3524594,0.90876836,1.1377721,-1.0367086,-1.0212038,1.0769013,-0.97498375,1.3606062,-0.08318047,1.4274642,0.12821138,0.45928687,0.7992826,-1.5849108,1.5691353,-0.7429871,-0.8245778,-0.34843564,-1.1980381,1.0727111,-1.8424683,-1.0646857,0.9692666
cell_28,1.6584265,0.7643193,-1.3562634,0.42233306,-0.7551904,-0.63646924,1.4115504,-0.025244653,2.1195004,0.44628152,1.6721084,0.68157846,-0.9389949,1.238916,1.0808203,1.9775851,-0.7481257,1.5388148,1.2249185,-0.7371232,-1.243638,0.7207941,1.2337974,0.7797331,0.72650146,0.8387734,-1.2045431,-0.13169937,1.3464158,-1.1826984,-0.59050447,-0.62871534,-0.51761305,-0.35101044,0.8829329,0.63230777,1.145757,2.0793624,1.191047,1.9002116,-0.67887694,-1.0074395,1.552501,1.2045085,-0.8920703,-2.5836263,0.7787958,-1.177587,1.5801082,0.11556339,0.2917317,0.8399397,0.633387,0.7248871,-1.4271348,0.87416524,-0.98528934,-1.3593329,-0.23486733,-0.6126323,0.5192874,-1.3876241,-1.6540967,1.1475898
cell_29,-0.8076572,1.1365924,0.6730419,-1.6372344,0.8642664,0.4865014,1.2591351,0.31827372,2.1712384,-1.5510018,-1.7475882,0.63153565,-1.0241606,0.5753064,-0.7866344,0.6926168,-0.7577504,1.6599473,0.686089,-0.88970304,0.47845107,0.5674994,-0.0388343,0.4807452,-2.1926286,-1.6274219,-0.8553139,1.8393158,0.8967942,-0.77933896,0.15835977,-0.9859318,-0.0941063,0.17962514,-0.12274003,-1.383047,-1.452214,0.13772005,0.90137476,1.5674812,0.9545944,0.083855145,1.9068623,1.4122841,-0.96980333,-1.8271855,0.98395616,1.0712864,1.1151928,-0.5215818,-1.8410758,0.2291173,-0.95972973,-0.29476315,-0.1485902,2.4270775,0.54498124,-1.0735157,-0.15537974,1.7673432,-0.44374815,0.7112825,-0.63886774,0.7321179
